rating,place,aircraft ,aircraft 1,traveller_type ,traveller_type  1,seat_type,route ,route 1,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment
4,Singapore,A380,A380,Solo Leisure,Solo Leisure,Economy Class,Singapore to Nassau via Heathrow,Singapore to Nassau via Heathrow,01-10-2017,3,2,2,3,5,2
4,United Kingdom,A321,A321,Business,Business,Economy Class,London Heathrow to Madrid,London Heathrow to Madrid,01-10-2017,1,2,-1,2,1,-1
2,United Kingdom,A320,A320,Business,Business,Economy Class,London to Zurich,London to Zurich,01-10-2017,2,2,1,2,1,1
7,United Kingdom,A319,A319,Couple Leisure,Couple Leisure,Economy Class,Bari to Gatwick,Bari to Gatwick,01-10-2017,3,3,1,4,4,1
5,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Economy Class,London Heathrow to Gibraltar,London Heathrow to Gibraltar,01-09-2017,3,2,2,3,3,-1
2,United Kingdom,A319,A319,Couple Leisure,Couple Leisure,Business Class,Pisa to London,Pisa to London,01-10-2017,1,5,3,3,1,-1
1,United Kingdom,Boeing 747-400,Boeing 747-400,Business,Business,First Class,Las Vegas to London Heathrow,Las Vegas to London Heathrow,01-09-2017,1,1,1,1,1,1
9,Australia,E-190,E-190,Family Leisure,Family Leisure,Economy Class,London City to Edinburgh,London City to Edinburgh,01-09-2017,5,4,4,4,4,-1
7,United Kingdom,A320,A320,Solo Leisure,Solo Leisure,Business Class,Faro to Gatwick,Faro to Gatwick,01-10-2017,4,5,4,2,3,-1
2,United Kingdom,A380,A380,Solo Leisure,Solo Leisure,Economy Class,Los Angeles to London Heathrow,Los Angeles to London Heathrow,01-10-2017,4,1,2,5,2,1
2,United Kingdom,Unknown,,Business,Business,Economy Class,Malaga to Gatwick,Malaga to Gatwick,01-10-2017,2,1,1,1,2,1
3,United Kingdom,Boeing 777,Boeing 777,Solo Leisure,Solo Leisure,Economy Class,London Heathrow to Bangkok,London Heathrow to Bangkok,01-10-2017,2,2,1,2,2,1
7,United Kingdom,A319,A319,Couple Leisure,Couple Leisure,Economy Class,Gatwick to Bari,Gatwick to Bari,01-10-2017,3,3,1,2,4,-1
10,United Kingdom,A319,A319,Family Leisure,Family Leisure,Business Class,Malaga to Gatwick,Malaga to Gatwick,01-10-2017,5,5,5,3,5,-1
10,United Kingdom,A319,A319,Family Leisure,Family Leisure,Business Class,Gatwick to Malaga,Gatwick to Malaga,01-10-2017,5,5,5,4,5,-1
1,France,Unknown,,Business,Business,Economy Class,London Heathrow to Nice,London Heathrow to Nice,01-10-2017,1,2,1,1,1,-1
3,United Kingdom,Boeing 747-400,Boeing 747-400,Couple Leisure,Couple Leisure,Business Class,Gatwick to Orlando,Gatwick to Orlando,01-09-2017,3,2,4,3,3,2
2,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Premium Economy,London to Abu Dhabi,London to Abu Dhabi,01-08-2017,5,3,4,1,1,3
8,United Kingdom,A319,A319,Solo Leisure,Solo Leisure,Business Class,Gatwick to Faro,Gatwick to Faro,01-10-2017,3,4,4,4,5,-1
3,United Kingdom,Unknown,,Business,Business,Economy Class,London Heathrow  to Madrid,London Heathrow  to Madrid,01-10-2017,3,3,1,3,2,1
1,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Geneva to London,Geneva to London,01-09-2017,3,1,-1,1,1,-1
4,Cayman Islands,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Grand Cayman to London,Grand Cayman to London,01-09-2017,1,2,2,3,2,3
2,Australia,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Sydney to Paris via London,Sydney to Paris via London,01-09-2017,1,2,2,3,1,3
5,United Kingdom,Boeing 767,Boeing 767,Couple Leisure,Couple Leisure,Economy Class,Larnaca to London Heathrow,Larnaca to London Heathrow,01-10-2017,3,3,-1,4,3,1
2,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,Funchal to Gatwick,Funchal to Gatwick,01-10-2017,4,1,1,1,3,-1
10,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,Orlando to Gatwick,Orlando to Gatwick,01-09-2017,5,5,4,5,5,1
6,New Zealand,A320,A320,Solo Leisure,Solo Leisure,Economy Class,Leeds Bradford to Geneva via London Heathrow,Leeds Bradford to Geneva via London Heathrow,01-10-2017,4,4,2,4,2,-1
6,Qatar,A380,A380,Business,Business,Business Class,Los Angeles to Doha via London,Los Angeles to Doha via London,01-10-2017,2,3,1,4,3,4
