rating,place,aircraft ,aircraft 1,traveller_type ,traveller_type  1,seat_type,route ,route 1,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment
8,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,Cape Town to Johannesburg,Cape Town to Johannesburg,01-01-2020,4,4,3,4,4,-1
10,Denmark,Unknown,,Solo Leisure,Solo Leisure,Economy Class,New York to London Heathrow via Copenhagen ,New York to London Heathrow via Copenhagen ,01-12-2019,5,5,5,5,5,5
8,United States,Boeing 787-9,Boeing 787-9,Business,Business,Business Class,Phoenix to London,Phoenix to London,01-01-2020,3,5,4,3,5,4
5,United Kingdom,Boeing 777-200,Boeing 777-200,Solo Leisure,Solo Leisure,Economy Class,London Heathrow to Bangkok,London Heathrow to Bangkok,01-01-2020,2,4,4,4,2,1
6,India,Boeing 777-200ER,Boeing 777-200ER,Solo Leisure,Solo Leisure,Economy Class,Mumbai to Boston via London,Mumbai to Boston via London,01-01-2020,2,5,5,1,3,2
1,United States,Unknown,,Family Leisure,Family Leisure,Economy Class,"Orlando, Florida to Accra, Ghana","Orlando, Florida to Accra, Ghana",01-12-2019,1,1,1,1,1,1
7,Canada,Boeing 787 / A320,Boeing 787 / A320,Solo Leisure,Solo Leisure,Economy Class,Toronto to Geneva via London,Toronto to Geneva via London,01-01-2020,4,5,4,4,3,3
9,United Kingdom,Boeing 777-300,Boeing 777-300,Solo Leisure,Solo Leisure,First Class,Hong Kong to London,Hong Kong to London,01-01-2020,4,5,5,4,4,4
3,France,Boeing 787,Boeing 787,Business,Business,Economy Class,San Jose to Amsterdam via London,San Jose to Amsterdam via London,01-01-2020,1,1,2,2,3,3
1,Singapore,Boeing 777,Boeing 777,Couple Leisure,Couple Leisure,Business Class,Singapore to Paris via London,Singapore to Paris via London,01-01-2020,3,4,4,1,2,4
9,Poland,A321neo,A321neo,Solo Leisure,Solo Leisure,Economy Class,Warsaw to London,Warsaw to London,01-01-2020,5,5,5,4,5,-1
8,United Kingdom,Boeing 747-400,Boeing 747-400,Family Leisure,Family Leisure,Economy Class,New York  to London Heathrow,New York  to London Heathrow,01-01-2020,4,5,3,5,4,4
3,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,London to Los Angeles,London to Los Angeles,01-12-2019,2,1,2,1,3,-1
7,United Kingdom,Boeing 737-800,Boeing 737-800,Couple Leisure,Couple Leisure,Business Class,Johannesburg to Cape Town,Johannesburg to Cape Town,01-01-2020,3,3,3,4,4,-1
2,United Kingdom,Unknown,,Business,Business,Business Class,London to Bangkok,London to Bangkok,01-01-2020,2,1,1,2,2,-1
8,United Kingdom,A380,A380,Couple Leisure,Couple Leisure,Business Class,London to Johannesburg,London to Johannesburg,01-01-2020,4,4,4,4,4,3
7,India,Boeing 777-200 / 747-400,Boeing 777-200 / 747-400,Solo Leisure,Solo Leisure,Economy Class,Boston to Mumbai via London,Boston to Mumbai via London,01-12-2019,2,5,4,1,5,2
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Business Class,Los Angeles to London,Los Angeles to London,01-01-2020,1,1,1,1,1,-1
2,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Premium Economy,Gatwick to Cancun,Gatwick to Cancun,01-01-2020,3,1,1,3,2,2
9,United Kingdom,A320,A320,Solo Leisure,Solo Leisure,Business Class,London Gatwick to Glasgow,London Gatwick to Glasgow,01-01-2020,4,5,4,5,4,-1
10,United Kingdom,Boeing 787-8,Boeing 787-8,Solo Leisure,Solo Leisure,Business Class,Rio De Janeiro to London Heathrow,Rio De Janeiro to London Heathrow,01-12-2019,5,5,5,4,5,-1
3,United Kingdom,A320,A320,Business,Business,Business Class,Gatwick to Tirana,Gatwick to Tirana,01-01-2020,1,3,2,4,2,1
10,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,Keflavik to London Heathrow,Keflavik to London Heathrow,01-01-2020,3,5,5,4,5,-1
1,Canada,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London Heathrow to Vancouver,London Heathrow to Vancouver,01-01-2020,1,3,1,2,1,1
3,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Tokyo to London Heathrow,Tokyo to London Heathrow,01-01-2020,2,1,1,5,1,1
5,Saint Kitts and Nevis,A380,A380,Couple Leisure,Couple Leisure,Business Class,London to Hong Kong,London to Hong Kong,01-12-2019,3,4,3,1,3,4
1,United States,Boeing 747,Boeing 747,Family Leisure,Family Leisure,Business Class,Los Angeles to London Heathrow,Los Angeles to London Heathrow,01-01-2020,1,3,2,1,1,2
3,United Kingdom,A320,A320,Solo Leisure,Solo Leisure,Economy Class,Istanbul to London,Istanbul to London,01-01-2020,2,2,-1,1,1,-1
2,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London to Bucharest,London to Bucharest,01-12-2019,2,2,1,1,1,-1
9,United Kingdom,Boeing 787-9,Boeing 787-9,Solo Leisure,Solo Leisure,Business Class,London to Rio De Janeiro,London to Rio De Janeiro,01-12-2019,5,5,5,4,5,5
3,Greece,A321neo,A321neo,Family Leisure,Family Leisure,Economy Class,London to Athens,London to Athens,01-12-2019,3,1,1,3,4,-1
1,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Copenhagen to London,Copenhagen to London,01-12-2019,2,1,1,1,1,-1
6,Vietnam,A320,A320,Solo Leisure,Solo Leisure,Economy Class,Budapest to Billund via London,Budapest to Billund via London,01-12-2019,3,3,2,4,3,1
8,South Africa,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Cape Town to Brussels via London,Cape Town to Brussels via London,01-12-2019,3,5,4,4,4,3
9,Australia,Boeing 777-300ER,Boeing 777-300ER,Solo Leisure,Solo Leisure,Economy Class,Sydney to Toulouse via Singapore / London,Sydney to Toulouse via Singapore / London,01-12-2019,5,5,5,4,5,2
7,United Kingdom,A321neo,A321neo,Solo Leisure,Solo Leisure,Business Class,Sofia to London,Sofia to London,01-10-2019,3,4,4,3,4,-1
10,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Business Class,Edinburgh to Barbados via Gatwick,Edinburgh to Barbados via Gatwick,01-12-2019,5,5,5,5,5,5
1,Germany,A320,A320,Solo Leisure,Solo Leisure,Economy Class,London to Munich,London to Munich,01-12-2019,2,1,-1,1,1,-1
1,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,Hong Kong to London,Hong Kong to London,01-12-2019,-1,-1,-1,-1,2,-1
1,United States,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London to Paris,London to Paris,01-08-2019,2,2,-1,1,1,-1
4,Australia,Boeing 777 - 200,Boeing 777 - 200,Business,Business,Economy Class,New York to London,New York to London,01-12-2019,2,2,1,5,5,1
1,United States,Unknown,,Family Leisure,Family Leisure,Premium Economy,Austin to London,Austin to London,01-10-2019,-1,-1,-1,-1,1,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Frankfurt to London,Frankfurt to London,01-12-2019,1,1,1,1,1,1
1,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London to Glasgow,London to Glasgow,01-12-2019,1,1,1,1,1,1
9,United States,Boeing 747-400,Boeing 747-400,Business,Business,Business Class,London to San Francisco ,London to San Francisco ,01-12-2019,3,5,4,5,4,4
1,United Kingdom,A319,A319,Couple Leisure,Couple Leisure,Economy Class,Heathrow to Belfast,Heathrow to Belfast,01-12-2019,2,5,5,1,3,-1
9,Ireland,A380,A380,Solo Leisure,Solo Leisure,Business Class,London to Singapore,London to Singapore,01-10-2019,4,5,5,5,5,1
1,United Kingdom,Unknown,,Business,Business,Economy Class,Toulouse to London,Toulouse to London,01-11-2019,1,1,-1,3,1,-1
8,Sweden,A319,A319,Solo Leisure,Solo Leisure,Business Class,London Heathrow to Stockholm,London Heathrow to Stockholm,01-11-2019,3,5,5,5,4,-1
1,United Kingdom,A380,A380,Family Leisure,Family Leisure,Economy Class,Johannesburg to London,Johannesburg to London,01-11-2019,1,3,3,2,1,3
7,United Kingdom,A380,A380,Couple Leisure,Couple Leisure,Business Class,Johannesburg to London,Johannesburg to London,01-12-2019,3,3,3,3,4,3
9,Sweden,Boeing 747-400,Boeing 747-400,Solo Leisure,Solo Leisure,First Class,London Heathrow to Miami,London Heathrow to Miami,01-11-2019,4,5,5,5,5,5
8,Sweden,A319,A319,Solo Leisure,Solo Leisure,Business Class,Stockholm to London Heathrow,Stockholm to London Heathrow,01-11-2019,3,5,5,5,4,-1
8,Australia,Boeing 777-300,Boeing 777-300,Couple Leisure,Couple Leisure,Economy Class,London to Sydney via Singapore,London to Sydney via Singapore,01-11-2019,3,4,4,3,4,2
1,United States,Boeing 747-400,Boeing 747-400,Couple Leisure,Couple Leisure,Business Class,London to New York JFK,London to New York JFK,01-11-2019,1,4,3,1,1,1
3,United Kingdom,Boeing 777-200,Boeing 777-200,Solo Leisure,Solo Leisure,Business Class,Gatwick to Bridgetown,Gatwick to Bridgetown,01-12-2019,3,2,3,3,2,3
5,Belgium,Boeing 777,Boeing 777,Business,Business,Business Class,Brussels to Bangkok via London,Brussels to Bangkok via London,01-11-2019,4,2,2,4,3,3
1,Norway,Boeing 777-200,Boeing 777-200,Business,Business,Economy Class,San Francisco to Oslo via London,San Francisco to Oslo via London,01-11-2019,1,2,2,1,1,-1
4,Czech Republic,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Los Angeles to Berlin via London,Los Angeles to Berlin via London,01-11-2019,3,1,-1,1,1,-1
7,United Kingdom,A380,A380,Couple Leisure,Couple Leisure,Business Class,London to Johannesburg ,London to Johannesburg ,01-11-2019,3,3,3,3,3,3
3,India,Unknown,,Business,Business,Premium Economy,London to Bangalore,London to Bangalore,01-11-2019,4,4,2,2,2,-1
10,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London to Sydney via Singapore,London to Sydney via Singapore,01-11-2019,5,5,3,5,5,-1
1,United States,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Lisbon to London,Lisbon to London,01-11-2019,1,-1,-1,1,1,-1
3,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London Heathrow to Glasgow,London Heathrow to Glasgow,01-11-2019,4,3,-1,4,2,-1
9,Malaysia,Boeing 787-9,Boeing 787-9,Family Leisure,Family Leisure,Economy Class,doha to londonDoha to London,doha to londonDoha to London,01-11-2019,5,5,4,5,5,4
4,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,London to Buenos Aires,London to Buenos Aires,01-11-2019,2,3,2,3,2,1
5,United Kingdom,A380,A380,Couple Leisure,Couple Leisure,Economy Class,San Francisco to London,San Francisco to London,01-11-2019,4,2,3,3,3,2
1,Australia,Boeing 777-300,Boeing 777-300,Business,Business,Business Class,Sydney to Singapore,Sydney to Singapore,01-11-2019,1,1,1,2,1,1
1,United Kingdom,Boeing 777,Boeing 777,Family Leisure,Family Leisure,Economy Class,London to Mauritius,London to Mauritius,01-11-2019,1,4,1,1,2,1
10,Netherlands,Unknown,,Business,Business,Business Class,Los Angeles to Amsterdam via London,Los Angeles to Amsterdam via London,01-11-2019,5,5,5,5,5,5
2,Ireland,Boeing 747-400,Boeing 747-400,Solo Leisure,Solo Leisure,Economy Class,London to Vancouver,London to Vancouver,01-11-2019,2,2,2,2,3,1
2,Australia,Boeing 747-400,Boeing 747-400,Couple Leisure,Couple Leisure,Economy Class,New York to Paris via London,New York to Paris via London,01-11-2019,1,1,1,1,1,1
2,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,London Heathrow to Lisbon,London Heathrow to Lisbon,01-11-2019,4,1,2,5,2,-1
9,United Kingdom,Boeing 777,Boeing 777,Solo Leisure,Solo Leisure,Economy Class,London to Boston,London to Boston,01-11-2019,4,4,4,4,3,4
9,United Kingdom,A320,A320,Business,Business,Economy Class,Tirana to London ,Tirana to London ,01-11-2019,4,5,3,5,5,5
10,United Kingdom,Boeing 747-400,Boeing 747-400,Solo Leisure,Solo Leisure,Economy Class,Gatwick to St Lucia,Gatwick to St Lucia,01-11-2019,5,5,5,5,5,5
10,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,London to Singapore,London to Singapore,01-11-2019,4,5,4,5,4,5
3,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London to San Francisco,London to San Francisco,01-11-2019,1,4,3,4,2,2
9,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,Gatwick to Venice,Gatwick to Venice,01-09-2019,4,5,4,5,4,-1
1,Australia,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Bordeaux to Gatwick,Bordeaux to Gatwick,01-09-2019,-1,-1,-1,-1,1,-1
10,United Kingdom,Boeing 787-9,Boeing 787-9,Couple Leisure,Couple Leisure,Business Class,Seychelles to London,Seychelles to London,01-10-2019,5,5,5,4,5,5
1,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Economy Class,London to Belfast,London to Belfast,01-10-2019,3,2,-1,1,2,-1
1,Canada,Unknown,,Business,Business,Premium Economy,London to Cape Town,London to Cape Town,01-10-2019,-1,-1,-1,1,1,-1
5,United States,Boeing 787,Boeing 787,Couple Leisure,Couple Leisure,Business Class,San Jose to London,San Jose to London,01-10-2019,2,4,4,3,2,1
4,United Kingdom,A321neo,A321neo,Solo Leisure,Solo Leisure,Economy Class,London Heathrow to Edinburgh,London Heathrow to Edinburgh,01-10-2019,1,3,1,3,3,-1
8,United Kingdom,Boeing 777-200,Boeing 777-200,Family Leisure,Family Leisure,Economy Class,Gatwick to Barbados,Gatwick to Barbados,01-10-2019,4,4,4,5,5,5
9,Canada,Boeing 777,Boeing 777,Couple Leisure,Couple Leisure,Economy Class,Toronto to London,Toronto to London,01-10-2019,3,5,5,5,5,5
1,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Jeddah to London,Jeddah to London,01-10-2019,1,1,1,1,1,5
3,Switzerland,Unknown,,Business,Business,Economy Class,Zurich to London,Zurich to London,01-10-2019,1,1,-1,2,3,-1
10,United Kingdom,A380,A380,Couple Leisure,Couple Leisure,Business Class,San Francisco to London,San Francisco to London,01-10-2019,5,5,5,5,4,4
10,United Kingdom,A319,A319,Solo Leisure,Solo Leisure,Business Class,London to Belfast,London to Belfast,01-10-2019,5,5,5,5,5,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London Gatwick to Salzburg ,London Gatwick to Salzburg ,01-04-2019,2,3,3,2,2,2
1,Germany,Unknown,,Business,Business,Economy Class,Frankfurt to London,Frankfurt to London,01-10-2019,1,4,2,1,1,-1
10,India,Unknown,,Business,Business,Economy Class,Hyderabad to San Francisco via London,Hyderabad to San Francisco via London,01-10-2019,3,5,2,3,3,3
2,Switzerland,Boeing 747-400,Boeing 747-400,Business,Business,Business Class,Vancouver to London,Vancouver to London,01-10-2019,4,1,1,3,2,4
1,United Kingdom,A320,A320,Solo Leisure,Solo Leisure,Economy Class,London to Malaga,London to Malaga,01-10-2019,1,1,-1,1,1,-1
3,United Kingdom,A320,A320,Business,Business,Economy Class,Brussels to London,Brussels to London,01-10-2019,4,4,-1,1,2,-1
1,Australia,Boeing 777,Boeing 777,Couple Leisure,Couple Leisure,Premium Economy,London to Singapore,London to Singapore,01-10-2019,1,1,1,3,1,-1
2,Argentina,Boeing 787,Boeing 787,Solo Leisure,Solo Leisure,Premium Economy,Kuala Lumpur to Glasgow via London,Kuala Lumpur to Glasgow via London,01-10-2019,5,1,2,2,1,3
10,United Kingdom,Boeing 787-900,Boeing 787-900,Couple Leisure,Couple Leisure,Business Class,London Heathrow to Seychelles,London Heathrow to Seychelles,01-10-2019,5,5,5,5,5,5
1,United States,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Edinburgh to London Heathrow,Edinburgh to London Heathrow,01-10-2019,3,3,-1,1,1,-1
8,Jordan,A321,A321,Couple Leisure,Couple Leisure,Economy Class,Amman to London,Amman to London,01-09-2019,4,4,4,4,4,4
5,United Kingdom,A320,A320,Business,Business,Economy Class,London to Athens,London to Athens,01-10-2019,3,2,-1,4,2,-1
1,United States,Boeing 777,Boeing 777,Couple Leisure,Couple Leisure,Economy Class,New York JFK to London,New York JFK to London,01-10-2019,1,2,1,1,1,1
2,Argentina,Boeing 777-200,Boeing 777-200,Couple Leisure,Couple Leisure,Premium Economy,Buenos Aires to London Heathrow,Buenos Aires to London Heathrow,01-09-2019,1,3,1,4,1,1
8,Mexico,"Boeing 787-9, A320-200","Boeing 787-9, A320-200",Solo Leisure,Solo Leisure,Economy Class,Mexico City to Barcelona via London Heathrow,Mexico City to Barcelona via London Heathrow,01-09-2019,5,4,4,4,3,4
9,United Kingdom,A319,A319,Couple Leisure,Couple Leisure,Economy Class,Bari to London Gatwick,Bari to London Gatwick,01-09-2019,4,5,4,4,5,-1
4,United Kingdom,Boeing 787,Boeing 787,Couple Leisure,Couple Leisure,Premium Economy,Abu Dhabi to London Heathrow,Abu Dhabi to London Heathrow,01-09-2019,1,3,1,4,1,-1
9,United Kingdom,Boeing 787-900,Boeing 787-900,Couple Leisure,Couple Leisure,Economy Class,London Heathrow to Abu Dhabi,London Heathrow to Abu Dhabi,01-10-2019,5,5,5,5,4,4
2,South Africa,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Johannesburg to Amsterdam via London,Johannesburg to Amsterdam via London,01-09-2019,4,5,1,1,2,1
10,United Kingdom,A350,A350,Business,Business,Business Class,Dubai to London Heathrow,Dubai to London Heathrow,01-09-2019,5,5,5,5,4,3
1,United States,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Istanbul to New York via London,Istanbul to New York via London,01-10-2019,3,3,3,1,1,3
10,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Rome to London Heathrow,Rome to London Heathrow,01-10-2019,2,5,5,5,5,-1
1,United Kingdom,A320,A320,Business,Business,Economy Class,London to Athens,London to Athens,01-10-2019,1,3,-1,1,1,-1
8,United Kingdom,A320,A320,Solo Leisure,Solo Leisure,Economy Class,London Heathrow to Newcastle,London Heathrow to Newcastle,01-10-2019,4,4,-1,5,4,-1
6,Canada,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Calgary to Gothenburg via London,Calgary to Gothenburg via London,01-09-2019,1,4,3,4,3,4
10,Malaysia,Boeing 787-9,Boeing 787-9,Family Leisure,Family Leisure,Economy Class,Kuala Lumpur to London,Kuala Lumpur to London,01-10-2019,5,5,5,5,5,5
8,United Kingdom,Boeing 747,Boeing 747,Couple Leisure,Couple Leisure,Business Class,Austin to London,Austin to London,01-10-2019,3,3,3,3,4,-1
7,United Kingdom,Boeing 787,Boeing 787,Couple Leisure,Couple Leisure,Premium Economy,London to Kuala Lumpur,London to Kuala Lumpur,01-08-2019,5,4,3,4,4,4
1,United States,Unknown,,Couple Leisure,Couple Leisure,Premium Economy,Newark to Madrid via London,Newark to Madrid via London,01-10-2019,3,3,1,3,3,3
5,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Business Class,Kos to Gatwick,Kos to Gatwick,01-10-2019,4,3,2,1,3,-1
4,United Kingdom,A320,A320,Business,Business,Business Class,Gatwick to Alicante,Gatwick to Alicante,01-09-2019,5,5,5,2,5,5
9,United Kingdom,A380,A380,Solo Leisure,Solo Leisure,Premium Economy,Vancouver to London,Vancouver to London,01-09-2019,5,5,4,4,4,4
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Gatwick to Alicante,Gatwick to Alicante,01-09-2019,1,3,-1,3,1,-1
10,United Kingdom,Boeing 747,Boeing 747,Couple Leisure,Couple Leisure,Business Class,London Heathrow to Austin,London Heathrow to Austin,01-09-2019,4,5,4,3,5,2
8,United Kingdom,Boeing 747,Boeing 747,Couple Leisure,Couple Leisure,Business Class,London Heathrow to Austin,London Heathrow to Austin,01-09-2019,4,4,4,4,4,1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,London Gatwick to Jersey,London Gatwick to Jersey,01-09-2019,-1,-1,-1,-1,1,-1
7,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,Cephalonia to London ,Cephalonia to London ,01-09-2019,3,4,4,3,3,-1
1,Italy,A380,A380,Family Leisure,Family Leisure,Economy Class,Chicago to Zurich via London,Chicago to Zurich via London,01-08-2019,1,4,1,1,3,1
9,Japan,Unknown,,Solo Leisure,Solo Leisure,Business Class,Glasgow to London,Glasgow to London,01-09-2019,4,5,5,5,5,-1
9,United Kingdom,A321,A321,Solo Leisure,Solo Leisure,Economy Class,London Heathrow to Berlin Tegel,London Heathrow to Berlin Tegel,01-09-2019,5,5,3,3,5,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Business Class,London to Milan,London to Milan,01-09-2019,1,1,-1,1,1,-1
3,United Kingdom,EMB190,EMB190,Business,Business,Economy Class,London to Geneva,London to Geneva,01-09-2019,4,2,1,4,2,-1
4,United States,Unknown,,Couple Leisure,Couple Leisure,Business Class,Los Angeles to Istanbul via London,Los Angeles to Istanbul via London,01-09-2019,2,4,1,1,1,-1
5,United States,Unknown,,Family Leisure,Family Leisure,Premium Economy,Phoenix to Tel Aviv via London,Phoenix to Tel Aviv via London,01-08-2019,3,5,3,1,1,3
5,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,London to Kefalonia ,London to Kefalonia ,01-09-2019,3,2,2,3,3,-1
1,United States,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London to Dublin,London to Dublin,01-09-2019,2,5,-1,1,3,-1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Business Class,Hong Kong to London,Hong Kong to London,01-09-2019,3,4,1,1,1,1
1,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Gatwick to Seville,Gatwick to Seville,01-09-2019,3,3,-1,1,1,-1
5,United Kingdom,Boeing 777-200,Boeing 777-200,Business,Business,Economy Class,London Heathrow to Abuja Nigeria,London Heathrow to Abuja Nigeria,01-09-2019,3,4,1,1,2,1
4,United Kingdom,Boeing 777-300,Boeing 777-300,Solo Leisure,Solo Leisure,Economy Class,London to Bangkok,London to Bangkok,01-09-2019,2,3,4,4,3,1
10,United Kingdom,Boeing 747-400,Boeing 747-400,Couple Leisure,Couple Leisure,Business Class,Belfast to San Francisco via London,Belfast to San Francisco via London,01-08-2019,5,5,5,5,5,5
9,United Kingdom,A319,A319,Couple Leisure,Couple Leisure,Economy Class,London to Gothenburg,London to Gothenburg,01-09-2019,4,4,-1,4,4,-1
1,Switzerland,Unknown,,Family Leisure,Family Leisure,Business Class,Orlando to Gatwick,Orlando to Gatwick,01-07-2019,1,1,1,1,1,-1
3,Sweden,Boeing 787 / A320,Boeing 787 / A320,Solo Leisure,Solo Leisure,Business Class,Mahe to Stockholm via London ,Mahe to Stockholm via London ,01-09-2019,1,2,2,1,2,4
8,United Kingdom,A319 / Boeing777,A319 / Boeing777,Couple Leisure,Couple Leisure,Business Class,Glasgow to Tampa via Gatwick,Glasgow to Tampa via Gatwick,01-09-2019,4,5,3,5,4,3
2,United Kingdom,Boeing 777-200,Boeing 777-200,Family Leisure,Family Leisure,Economy Class,Orlando to Gatwick,Orlando to Gatwick,01-09-2019,2,3,1,3,1,4
8,United Arab Emirates,Boeing 787,Boeing 787,Family Leisure,Family Leisure,Economy Class,London to Abu Dhabi,London to Abu Dhabi,01-08-2019,3,4,5,4,4,5
2,United Kingdom,A320,A320,Couple Leisure,Couple Leisure,Business Class,London to St Petersburgh,London to St Petersburgh,01-08-2019,1,3,1,5,1,-1
4,Australia,Boeing 777,Boeing 777,Business,Business,Premium Economy,Sydney to London via Singapore,Sydney to London via Singapore,01-05-2019,4,2,1,4,3,2
2,United States,A380,A380,Couple Leisure,Couple Leisure,Business Class,London to Johannesburg,London to Johannesburg,01-09-2019,1,1,-1,1,1,-1
2,United Kingdom,Unknown,,Family Leisure,Family Leisure,Business Class,Palma de Mallorca to London Heathrow,Palma de Mallorca to London Heathrow,01-08-2019,1,3,2,3,1,-1
10,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,Chennai to London,Chennai to London,01-08-2019,5,5,4,5,5,4
10,Malaysia,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Edinburgh to Kuala Lumpur via London,Edinburgh to Kuala Lumpur via London,01-07-2019,5,5,5,5,5,5
1,United Kingdom,Unknown,,Business,Business,Business Class,London City to Amsterdam,London City to Amsterdam,01-07-2019,3,3,-1,1,1,-1
1,Taiwan,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Dublin to Mauritius via London,Dublin to Mauritius via London,01-02-2019,-1,-1,-1,-1,1,-1
9,China,Boeing 777-200,Boeing 777-200,Family Leisure,Family Leisure,First Class,London to Shanghai,London to Shanghai,01-08-2019,5,5,4,5,5,3
2,United States,Unknown,,Business,Business,Business Class,Chicago to Heathrow via Barcelona,Chicago to Heathrow via Barcelona,01-08-2019,3,3,3,1,3,4
10,United Kingdom,Unknown,,Family Leisure,Family Leisure,Economy Class,New Orleans to London,New Orleans to London,01-11-2018,5,5,5,5,5,5
1,United States,Boeing 747,Boeing 747,Family Leisure,Family Leisure,Premium Economy,Boston to Copenhagen via London,Boston to Copenhagen via London,01-06-2019,1,1,1,1,1,1
2,Hong Kong,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Hong Kong to Copenhagen via London ,Hong Kong to Copenhagen via London ,01-08-2019,3,2,-1,1,2,-1
6,United Kingdom,Boeing 777-200,Boeing 777-200,Business,Business,Business Class,London Gatwick to San Jose Costa Rica,London Gatwick to San Jose Costa Rica,01-07-2019,1,3,4,5,1,1
5,United Kingdom,Boeing 777,Boeing 777,Solo Leisure,Solo Leisure,Economy Class,London to Dubai,London to Dubai,01-08-2019,3,4,3,1,3,3
10,Canada,"A340-300, A320","A340-300, A320",Family Leisure,Family Leisure,Business Class,Toronto to Pisa London Heathrow,Toronto to Pisa London Heathrow,01-08-2019,4,5,5,5,5,5
9,United Kingdom,A320,A320,Family Leisure,Family Leisure,Economy Class,London Heathrow to Venice Marco Polo,London Heathrow to Venice Marco Polo,01-08-2019,4,5,-1,4,4,-1
1,United States,Unknown,,Couple Leisure,Couple Leisure,Premium Economy,Chicago to London,Chicago to London,01-08-2019,2,4,2,1,3,2
3,United Kingdom,A321neo,A321neo,Family Leisure,Family Leisure,Economy Class,London to Larnaca,London to Larnaca,01-08-2019,1,3,-1,2,1,-1
10,United Kingdom,Boeing 777-200,Boeing 777-200,Family Leisure,Family Leisure,Economy Class,Gatwick to Orlando,Gatwick to Orlando,01-07-2019,4,5,4,5,4,4
6,Hong Kong,A320,A320,Family Leisure,Family Leisure,Economy Class,London to Munich,London to Munich,01-08-2019,4,4,-1,2,3,-1
1,United Kingdom,Unknown,,Business,Business,Economy Class,London to Glasgow,London to Glasgow,01-06-2019,2,2,3,1,1,-1
1,Australia,Unknown,,Business,Business,Business Class,London to Hong Kong,London to Hong Kong,01-08-2019,1,5,3,4,1,3
10,Slovakia,A320,A320,Solo Leisure,Solo Leisure,Economy Class,Vienna to Heathrow,Vienna to Heathrow,01-07-2019,4,5,5,5,4,3
2,United Kingdom,A321,A321,Couple Leisure,Couple Leisure,Business Class,Malaga to London ,Malaga to London ,01-08-2019,1,2,2,1,1,1
2,Australia,Unknown,,Couple Leisure,Couple Leisure,Business Class,Sydney to Singapore,Sydney to Singapore,01-08-2019,1,4,3,1,1,3
1,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,London Heathrow to Inverness,London Heathrow to Inverness,01-08-2019,2,3,-1,1,1,-1
2,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Heathrow to Glasgow,Heathrow to Glasgow,01-08-2019,1,1,-1,1,1,-1
